Numero billet;Reservation;Date reservation;Heure reservation;Cle spectacle;Spectacle;Cle representation;Representation;Date representation;Heure representation;Date fin representation;Heure fin representation;Prix;Type de produit;Filiere de vente;Nom;Prenom;Email;Adresse;Code postal;Pays;Age;Sexe
1491897;838742;02/06/15 00:00;12:18:17;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;11/12/15;20:00:00;11/12/15;21:30:00;27;Abonnement;GUICHET;COLLIN;NICOLA;NICOLA.COLLIN@mail.fr;8 impasse Delphinapterus leucas;69008;France;62;F
1491898;838567;02/06/15 00:00;10:28:43;537;Jeux de massacre de Ionesco;3533;Jeux de massacre de Ionesco;02/10/15;20:00:00;02/10/15;22:30:00;22;Abonnement;DIGITICK;DONOT;ARIA;ARIA.DONOT@mail.fr;55 rue du Harpia harpyja;69002;France;;F
1491899;838570;02/06/15 00:00;10:28:43;545;WAR SWEET WAR;3551;WAR SWEET WAR;06/11/15;20:00:00;06/11/15;21:40:00;27;Abonnement;DIGITICK;DONOT;ARIA;ARIA.DONOT@mail.fr;55 rue du Harpia harpyja;69002;France;;F
1491900;838568;02/06/15 00:00;10:28:43;543;KISS & CRY;3651;KISS & CRY;05/02/16;20:00:00;05/02/16;22:00:00;22;Abonnement;DIGITICK;DONOT;ARIA;ARIA.DONOT@mail.fr;55 rue du Harpia harpyja;69002;France;;F
1491901;838566;02/06/15 00:00;10:28:43;551;MORT D'UN COMMIS VOYAGEUR;3670;MORT D'UN COMMIS VOYAGEUR;04/03/16;20:00:00;04/03/16;22:00:00;22;Abonnement;DIGITICK;DONOT;ARIA;ARIA.DONOT@mail.fr;55 rue du Harpia harpyja;69002;France;;F
1491902;838569;02/06/15 00:00;10:28:43;556;DISPERSION;3731;DISPERSION;20/05/16;19:00:00;20/05/16;23:30:00;22;Abonnement;DIGITICK;DONOT;ARIA;ARIA.DONOT@mail.fr;55 rue du Harpia harpyja;69002;France;;F
1491909;838744;02/06/15 00:00;12:19:45;537;Jeux de massacre de Ionesco;3532;Jeux de massacre de Ionesco;01/10/15;20:00:00;01/10/15;22:30:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491910;838744;02/06/15 00:00;12:19:45;537;Jeux de massacre de Ionesco;3532;Jeux de massacre de Ionesco;01/10/15;20:00:00;01/10/15;22:30:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491911;838747;02/06/15 00:00;12:20:43;548;DISPLACED WOMEN;3572;DISPLACED WOMEN;26/11/15;20:00:00;26/11/15;23:00:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491912;838747;02/06/15 00:00;12:20:43;548;DISPLACED WOMEN;3572;DISPLACED WOMEN;26/11/15;20:00:00;26/11/15;23:00:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491913;838758;02/06/15 00:00;12:22:58;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;11/12/15;20:00:00;11/12/15;21:30:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491914;838758;02/06/15 00:00;12:22:58;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;11/12/15;20:00:00;11/12/15;21:30:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491915;838745;02/06/15 00:00;12:20:03;538;887;3588;887;16/12/15;20:00:00;16/12/15;21:15:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491916;838745;02/06/15 00:00;12:20:03;538;887;3588;887;16/12/15;20:00:00;16/12/15;21:15:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491917;838748;02/06/15 00:00;12:21:20;552;PLATONOV;3694;PLATONOV;10/03/16;20:00:00;10/03/16;22:00:00;15;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491918;838748;02/06/15 00:00;12:21:20;552;PLATONOV;3694;PLATONOV;10/03/16;20:00:00;10/03/16;22:00:00;15;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491919;838743;02/06/15 00:00;12:19:38;551;MORT D'UN COMMIS VOYAGEUR;3679;MORT D'UN COMMIS VOYAGEUR;16/03/16;20:00:00;16/03/16;22:00:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491920;838743;02/06/15 00:00;12:19:38;551;MORT D'UN COMMIS VOYAGEUR;3679;MORT D'UN COMMIS VOYAGEUR;16/03/16;20:00:00;16/03/16;22:00:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491921;838749;02/06/15 00:00;12:21:37;554;YO MATE A PINOCHET;3714;YO MATE A PINOCHET;05/04/16;20:00:00;05/04/16;21:30:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491922;838749;02/06/15 00:00;12:21:37;554;YO MATE A PINOCHET;3714;YO MATE A PINOCHET;05/04/16;20:00:00;05/04/16;21:30:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491923;838769;02/06/15 00:00;12:23:48;557;ORESTEA;3738;ORESTEA;01/06/16;20:00:00;01/06/16;21:30:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491924;838769;02/06/15 00:00;12:23:48;557;ORESTEA;3738;ORESTEA;01/06/16;20:00:00;01/06/16;21:30:00;27;Abonnement;GUICHET;BETTIOL;MARIELLE;MARIELLE.BETTIOL@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491925;838775;02/06/15 00:00;12:24:10;537;Jeux de massacre de Ionesco;3532;Jeux de massacre de Ionesco;01/10/15;20:00:00;01/10/15;22:30:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491926;838777;02/06/15 00:00;12:24:10;548;DISPLACED WOMEN;3572;DISPLACED WOMEN;26/11/15;20:00:00;26/11/15;23:00:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491927;838778;02/06/15 00:00;12:24:10;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;11/12/15;20:00:00;11/12/15;21:30:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491928;838776;02/06/15 00:00;12:24:10;538;887;3588;887;16/12/15;20:00:00;16/12/15;21:15:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491929;838779;02/06/15 00:00;12:24:10;552;PLATONOV;3694;PLATONOV;10/03/16;20:00:00;10/03/16;22:00:00;15;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491930;838774;02/06/15 00:00;12:24:10;551;MORT D'UN COMMIS VOYAGEUR;3679;MORT D'UN COMMIS VOYAGEUR;16/03/16;20:00:00;16/03/16;22:00:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491931;838780;02/06/15 00:00;12:24:10;554;YO MATE A PINOCHET;3714;YO MATE A PINOCHET;05/04/16;20:00:00;05/04/16;21:30:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491932;838781;02/06/15 00:00;12:24:10;557;ORESTEA;3738;ORESTEA;01/06/16;20:00:00;01/06/16;21:30:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491933;838784;02/06/15 00:00;12:24:13;537;Jeux de massacre de Ionesco;3532;Jeux de massacre de Ionesco;01/10/15;20:00:00;01/10/15;22:30:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491934;838786;02/06/15 00:00;12:24:13;548;DISPLACED WOMEN;3572;DISPLACED WOMEN;26/11/15;20:00:00;26/11/15;23:00:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491935;838787;02/06/15 00:00;12:24:13;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;11/12/15;20:00:00;11/12/15;21:30:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491936;838785;02/06/15 00:00;12:24:13;538;887;3588;887;16/12/15;20:00:00;16/12/15;21:15:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491937;838788;02/06/15 00:00;12:24:13;552;PLATONOV;3694;PLATONOV;10/03/16;20:00:00;10/03/16;22:00:00;15;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491938;838783;02/06/15 00:00;12:24:13;551;MORT D'UN COMMIS VOYAGEUR;3679;MORT D'UN COMMIS VOYAGEUR;16/03/16;20:00:00;16/03/16;22:00:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491939;838789;02/06/15 00:00;12:24:13;554;YO MATE A PINOCHET;3714;YO MATE A PINOCHET;05/04/16;20:00:00;05/04/16;21:30:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491940;838790;02/06/15 00:00;12:24:13;557;ORESTEA;3738;ORESTEA;01/06/16;20:00:00;01/06/16;21:30:00;27;Abonnement;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;H
1491941;838795;02/06/15 00:00;12:24:52;538;887;3589;887;17/12/15;20:00:00;17/12/15;21:15:00;32;Place individuelle;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491942;838795;02/06/15 00:00;12:24:52;538;887;3589;887;17/12/15;20:00:00;17/12/15;21:15:00;32;Place individuelle;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491943;838767;02/06/15 00:00;12:23:43;549;COMMENT VOUS RACONTEZ LA PARTIE?;3575;COMMENT VOUS RACONTEZ LA PARTIE?;01/12/15;20:00:00;01/12/15;21:30:00;27;Abonnement;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491944;838766;02/06/15 00:00;12:23:43;538;887;3588;887;16/12/15;20:00:00;16/12/15;21:15:00;27;Abonnement;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491945;838765;02/06/15 00:00;12:23:43;539;Sauterelles;3605;Sauterelles;05/01/16;20:00:00;05/01/16;22:30:00;27;Abonnement;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491946;838764;02/06/15 00:00;12:23:43;551;MORT D'UN COMMIS VOYAGEUR;3667;MORT D'UN COMMIS VOYAGEUR;01/03/16;20:00:00;01/03/16;22:00:00;27;Abonnement;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491947;838768;02/06/15 00:00;12:23:43;554;YO MATE A PINOCHET;3708;YO MATE A PINOCHET;30/03/16;20:00:00;30/03/16;21:30:00;27;Abonnement;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491948;838756;02/06/15 00:00;12:22:47;549;COMMENT VOUS RACONTEZ LA PARTIE?;3575;COMMENT VOUS RACONTEZ LA PARTIE?;01/12/15;20:00:00;01/12/15;21:30:00;27;Abonnement;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491949;838750;02/06/15 00:00;12:21:55;538;887;3588;887;16/12/15;20:00:00;16/12/15;21:15:00;27;Abonnement;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491950;838754;02/06/15 00:00;12:22:22;539;Sauterelles;3605;Sauterelles;05/01/16;20:00:00;05/01/16;22:30:00;27;Abonnement;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491951;838746;02/06/15 00:00;12:20:14;551;MORT D'UN COMMIS VOYAGEUR;3667;MORT D'UN COMMIS VOYAGEUR;01/03/16;20:00:00;01/03/16;22:00:00;27;Abonnement;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491952;838761;02/06/15 00:00;12:23:28;554;YO MATE A PINOCHET;3708;YO MATE A PINOCHET;30/03/16;20:00:00;30/03/16;21:30:00;27;Abonnement;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;F
1491953;838791;02/06/15 00:00;12:24:17;568;LA REINE DU CRIME;3768;LA REINE DU CRIME;09/10/15;20:00:00;09/10/15;21:30:00;27;Abonnement;GUICHET;CZERWIEC;Théodore et Christel;Théodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491954;838791;02/06/15 00:00;12:24:17;568;LA REINE DU CRIME;3768;LA REINE DU CRIME;09/10/15;20:00:00;09/10/15;21:30:00;27;Abonnement;GUICHET;CZERWIEC;Théodore et Christel;Théodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491955;838803;02/06/15 00:00;12:25:34;545;WAR SWEET WAR;3552;WAR SWEET WAR;07/11/15;20:00:00;07/11/15;21:40:00;27;Abonnement;GUICHET;CZERWIEC;Théodore et Christel;Théodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491956;838803;02/06/15 00:00;12:25:34;545;WAR SWEET WAR;3552;WAR SWEET WAR;07/11/15;20:00:00;07/11/15;21:40:00;27;Abonnement;GUICHET;CZERWIEC;Théodore et Christel;Théodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491957;838805;02/06/15 00:00;12:25:47;546;DREAMSPELL;3553;DREAMSPELL;13/11/15;20:00:00;13/11/15;22:00:00;27;Abonnement;GUICHET;CZERWIEC;Théodore et Christel;Théodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491958;838805;02/06/15 00:00;12:25:47;546;DREAMSPELL;3553;DREAMSPELL;13/11/15;20:00:00;13/11/15;22:00:00;27;Abonnement;GUICHET;CZERWIEC;Théodore et Christel;Théodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491959;838810;02/06/15 00:00;12:26:55;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;11/12/15;20:00:00;11/12/15;21:30:00;27;Abonnement;GUICHET;CZERWIEC;Théodore et Christel;Théodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
1491960;838810;02/06/15 00:00;12:26:55;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;11/12/15;20:00:00;11/12/15;21:30:00;27;Abonnement;GUICHET;CZERWIEC;Théodore et Christel;Théodore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;F
